season,league,division,team1,team2,result,wins1,wins2,ties,games_played
2016,MLB,NL-East,ATL,WAS,WAS,4,15,0,19
2016,MLB,NL-East,MIA,NYN,NYN,7,12,0,19
2016,MLB,NL-East,MIA,PHI,PHI,9,10,0,19
2016,MLB,NL-East,MIA,WAS,WAS,9,10,0,19
2016,MLB,NL-East,NYN,PHI,NYN,12,7,0,19
2016,MLB,NL-East,NYN,WAS,WAS,7,12,0,19
2016,MLB,NL-East,PHI,WAS,WAS,5,14,0,19
2016,MLB,NL-West,ARI,COL,ARI,10,9,0,19
2016,MLB,NL-West,ARI,LAN,LAN,7,12,0,19
2016,MLB,NL-West,ARI,SDN,ARI,10,9,0,19
2016,MLB,NL-West,ARI,SFN,SFN,6,13,0,19
2016,MLB,NL-West,COL,LAN,LAN,7,12,0,19
2016,MLB,NL-West,COL,SDN,COL,10,9,0,19
2016,MLB,NL-West,COL,SFN,SFN,9,10,0,19
2016,MLB,NL-West,LAN,SDN,LAN,11,8,0,19
2016,MLB,NL-West,LAN,SFN,SFN,8,11,0,19
2016,MLB,NL-West,SDN,SFN,SFN,8,11,0,19
2017,MLB,AL-Central,CHA,CLE,CLE,6,13,0,19
2017,MLB,AL-Central,CHA,DET,CHA,10,9,0,19
2017,MLB,AL-Central,CHA,KCA,CHA,10,9,0,19
2017,MLB,AL-Central,CHA,MIN,MIN,7,12,0,19
2017,MLB,AL-Central,CLE,DET,CLE,13,6,0,19
2017,MLB,AL-Central,CLE,KCA,CLE,12,7,0,19
2017,MLB,AL-Central,CLE,MIN,CLE,12,7,0,19
2017,MLB,AL-Central,DET,KCA,KCA,8,11,0,19
2017,MLB,AL-Central,DET,MIN,MIN,8,11,0,19
2017,MLB,AL-Central,KCA,MIN,MIN,8,11,0,19
2017,MLB,AL-East,BAL,BOS,BAL,10,9,0,19
2017,MLB,AL-East,BAL,NYA,NYA,7,12,0,19
2017,MLB,AL-East,BAL,TBA,TBA,8,11,0,19
2017,MLB,AL-East,BAL,TOR,BAL,12,7,0,19
2017,MLB,AL-East,BOS,NYA,NYA,8,11,0,19
2017,MLB,AL-East,BOS,TBA,BOS,11,8,0,19
